"ILEP - Approved higher education,  professional, foundation and English language programmes  -  with effect from 11 February 2026",,,,,,,,,,,,,,,,,,,,,,,,,
Programme Reference No,Programme Type,Provider,Addresss,Contact Email,Contact Telephone,Contact Name ,Programme Title,Awarding Body,Award Title,Duration (ECTS /Weeks per year),Hours per week,NFQ Level,Entry Level,Exit Level,,,,,,,,,,,
0318/0002,English Language,Ulearn English School Dublin ,"13 Harcourt Street, Dublin 2 D02 RK31",info@ulearnschool.com,01-4751222,Paul GIll,ACADEMIC YEAR AFTERNOON A2,ACELS,TIE,25 weeks,15 hours,n/a ,A1,A2,,,,,,,,,,,
0318/0003,English Language,Ulearn English School Dublin ,"13 Harcourt Street, Dublin 2 D02 RK31",info@ulearnschool.com,01-4751222,Paul GIll,ACADEMIC YEAR AFTERNOON B1,CELA,PET,25 weeks,15 hours,n/a ,A2,B1,,,,,,,,,,,
0318/0004,English Language,Ulearn English School Dublin ,"13 Harcourt Street, Dublin 2 D02 RK31",info@ulearnschool.com,01-4751222,Paul GIll,ACADEMIC YEAR AFTERNOON B2,CELA,FCE,25 weeks,15 hours,n/a ,B1,B2,,,,,,,,,,,
0318/0005,English Language,Ulearn English School Dublin ,"13 Harcourt Street, Dublin 2 D02 RK31",info@ulearnschool.com,01-4751222,Paul GIll,ACADEMIC YEAR AFTERNOON B2 IELTS,CELA,IELTS Academic,25 weeks,15 hours,n/a ,B1,B2,,,,,,,,,,,
0318/0006,English Language,Ulearn English School Dublin ,"13 Harcourt Street, Dublin 2 D02 RK31",info@ulearnschool.com,01-4751222,Paul GIll,ACADEMIC YEAR AFTERNOON C1,CELA,CAE,25 weeks,15 hours,n/a ,B2,C1,,,,,,,,,,,
0318/0007,English Language,Ulearn English School Dublin ,"13 Harcourt Street, Dublin 2 D02 RK31",info@ulearnschool.com,01-4751222,Paul GIll,ACADEMIC YEAR AFTERNOON C1 IELTS,CELA,IELTS Academic,25 weeks,15 hours,n/a ,B2,C1,,,,,,,,,,,
0318/0009,English Language,Ulearn English School Dublin ,"13 Harcourt Street, Dublin 2 D02 RK31",info@ulearnschool.com,01-4751222,Paul GIll,ACADEMIC YEAR MORNING A2,ACELS,TIE,25 weeks,15 hours,n/a ,A1,A2,,,,,,,,,,,
0318/0010,English Language,Ulearn English School Dublin ,"13 Harcourt Street, Dublin 2 D02 RK31",info@ulearnschool.com,01-4751222,Paul GIll,ACADEMIC YEAR MORNING B1,CELA,PET,25 weeks,15 hours,n/a ,A2,B1,,,,,,,,,,,
0318/0011,English Language,Ulearn English School Dublin ,"13 Harcourt Street, Dublin 2 D02 RK31",info@ulearnschool.com,01-4751222,Paul GIll,ACADEMIC YEAR MORNING B2,CELA,FCE,25 weeks,15 hours,n/a ,B1,B2,,,,,,,,,,,
0318/0012,English Language,Ulearn English School Dublin ,"13 Harcourt Street, Dublin 2 D02 RK31",info@ulearnschool.com,01-4751222,Paul GIll,ACADEMIC YEAR MORNING B2 IELTS,CELA,IELTS Academic,25 weeks,15 hours,n/a ,B1,B2,,,,,,,,,,,
0318/0013,English Language,Ulearn English School Dublin ,"13 Harcourt Street, Dublin 2 D02 RK31",info@ulearnschool.com,01-4751222,Paul GIll,ACADEMIC YEAR MORNING C1,CELA,CAE,25 weeks,15 hours,n/a ,B2,C1,,,,,,,,,,,
0318/0014,English Language,Ulearn English School Dublin ,"13 Harcourt Street, Dublin 2 D02 RK31",info@ulearnschool.com,01-4751222,Paul GIll,ACADEMIC YEAR MORNING C1 IELTS,CELA,IELTS Academic,25 weeks,15 hours,n/a ,B2,C1,,,,,,,,,,,
0318/0018,English Language,Ulearn English School Dublin ,"13 Harcourt Street, Dublin 2 D02 RK31",info@ulearnschool.com,01-4751222,Paul Gill,IELTS Premium,IELTS,IELTS Premium,25 weeks,15 hours,n/a,B1,B2,,,,,,,,,,,
0318/0019,English Language,Ulearn English School Dublin ,"13 Harcourt Street, Dublin 2 D02 RK31",info@ulearnschool.com,01-4751222,Paul GIll,IELTS Standard,IELTS,IELTS Standard,25 weeks,15 hours,n/a,B1,B2,,,,,,,,,,,
0318/0020,English Language,Ulearn English School Dublin ,"13 Harcourt Street, Dublin 2 D02 RK31",info@ulearnschool.com,01-4751222,Paul GIll,Academic Year A2 AM,Cambridge English Language Assessment,KEY,25 weeks,15 hours,n/a,Beginner/A1,A2/A2+,,,,,,,,,,,
0318/0021,English Language,Ulearn English School Dublin ,"13 Harcourt Street, Dublin 2 D02 RK31",info@ulearnschool.com,01-4751222,Paul GIll,Academic Year A2 PM,Cambridge English Language Assessment,KEY,25 weeks,15 hours,n/a,Beginner/A1,A2/A2+,,,,,,,,,,,
