"Number","Name","Nickname","Correspondence language","Address","Address addon","ZIP / Postal code","City","State","Country","Phone","Category","Currency","Payment method","Comment for student record","Tax number","Web","Groups","Active","First name","Surname","E-mail","Commission category","Terms of payments","Cancellation category","Created by","Created","Updated by","Updated on"
"","+55 Intercambio e Turismo","+55 Intercambio","English","Rua Augusto Guimarães, 954,","sala 1","","Palmas","Parana","Brazil","+55 46 3262-2254","Travel agent","€","Net prior to arrival","","","","7. Inactive","Yes","Bruno","Pietro Scariot","viagens55@outlook.com","15% All Courses","","ULearn Cancellation Policy 2018","Gill, Paul","14/06/2016","","10/05/2022"
"","2 Be Study Group","2 Be Study Group","English","R. Henri Dunant","Chac. Sto Antonio","","Sao Paulo","","Brazil","","Travel agent","","Net prior to arrival","","","www.2bestudy.com.br","7. Inactive","Yes","Raíssa","Camargo","registration4@2bestudy.com.br","22% All Courses","","ULearn Cancellation Policy 2018","Gill, Paul","17/06/2016","","10/05/2022"
"","4 You Study","4uStudy","English","4 Arran Quay","1st  Floor","","Dublin","","Ireland","353 83 465 0234","Travel agent","","Net prior to arrival","","","","","Yes","Thiago","Miranda","application@4youstudy.com.br","22% All Courses","","","Team, ULearn","27/10/2016","","10/05/2022"
"","A Tiempo","A Tiempo","English","","","","","","Spain","","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Ciaran Test","McMahon Test","ciaran@ulearnschool.com","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","ABIC","ABIC","English","Porto Alegre - RS - CEP: 90550-070","Av. Nova York 10 conj. 409","","","","Brazil","55 51 3307 3030","Travel agent","","Net prior to arrival","","","www.abic.org.br","3. Gone Quiet","Yes","Paula","Brondani","outgoings@abic.org.br","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Academia de Inglés Bath","Academia Bath","English","Calle Lozano Sidro 8","Priego de Cordoba",14800,"Cordoba","","Spain","+34 622 746 272","Foreign School","€","Net prior to arrival","","","https://academiadeinglesbath.es","New agents 2020","Yes","Peter James","Graham","priegoenglish@gmail.com","22% All Courses","","","Team, Partners","05/11/2024","","05/11/2024"
"","Academia Ken's","Academia Ken's","English","Ken’s School of English,","C/ Tomás Nougués Nº 1, 1º",44001,"TERUEL","TF","Spain","(+34) 651 89 90 93","Foreign School","","Net prior to arrival","","","www.academiakens.com","3. Gone Quiet","Yes","Teresa Maria","Julián Parillo","teresa@academiakens.com","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Academias de Ingles en Dublin","AID","English","Monasterio de la Oliva 3","Cintruenigo",31592,"","","Spain",+34655205649,"Travel agent","€","Net prior to arrival","","","www.academiasdeinglesendublin.com","New agents 2020","Yes","Aitor","Mateo","info@academiasdeinglesendublin.com","20% All Courses","","","Team, Partners","21/03/2023","","21/03/2023"
"","Academy of Corporate Education","Academy of Corporate Education","English","Tverskaya str, 18/1,","807,","","Moscow","","Russia","+7 495 741 2385","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","Victoria Taya","Skachkova","coordinator@academyce.ru","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Academy of English Siracusa","Academy of English Siracusa","English","Academy of English Siracusa","Via San Giovanni alle Catacombe, 7",96100,"Siracusa","","Italy","","Foreign School","€","Net prior to arrival","","","http://www.theacademyofenglish.it/it/chisiamo/chisiamo.php","3. Gone Quiet","Yes","Academy","Siracusa","info@academysiracusa.com","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Access International Japan","Access International Japan","English","","","","","","Japan","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","Asako","Mori","mori@access-international.co.jp","22% All Courses","","ULearn Cancellation Policy 2018","Team, Partners","17/06/2016","","10/05/2022"
"","Actra Agency Mongolia","Actra","English","7O1-704, MN Tower, Sambuu's street","5th khorooChingeltei","","Ulaanbaatar","","Mongolia",+97688041970,"Travel agent","€","Net prior to arrival","","","www.actra.mn","","Yes","Bayartungalag","Batkhuyag","actra.agency@gmail.com","25% All Courses","","","Team, Partners","06/09/2024","","06/09/2024"
"","AEI Study Abroad","AEI Study Abroad","English","","","","","","Venezuela","+1-778-554-2222","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Geoffroy","Gobilliard","geoff@studyabroadprograms.ca","22% All Courses","","","Team, Partners","17/06/2016","","10/05/2022"
"","Afric Marren Org","Afric Marren Org","English","15 Brighton Court,","Foxrock,","","Dublin 18","","Ireland","","Individual","","Net prior to arrival","","","sepireland@groups.facebook.com","7. Inactive","Yes","Afric","Marren","africmarren@yahoo.com","10% All courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","AGBR Intercambios","AGBR Intercambios","English","599-Sl. 503,","Av. N. Sra. de Copacabana,","Copacabana,","Rio De Janeiro,","","Brazil","+55-21-2255-2317","Travel agent","","Net prior to arrival","","","www.agbr.com.br","3. Gone Quiet","Yes","Marcio","Silveira","","23% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Agencia Daqui Pro Mundo","Agencia Daqui Pro Mundo","English","Rua Itapura,","300 - sala 501,","CEP 03310 - 0000","Sao Paulo - SP","","Brazil","+55 11 3476-0079","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Kelly","Barcellos","kelly@daquipromundo.com.br","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Agencia Mundi","Agencia Mundi","English","Rua Itapura, 300,","sala 501,","CEP 03310 - 0000","Sao Paulo - SP","","Brazil","+55 11 3804-3264","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","Aline","Martinez","aline@agmundi.com.br","25% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
